﻿date,instrument,tenor,yield
2026-03-18,국고채,0.25,2.586
2026-03-18,국고채,0.5,2.677
2026-03-18,국고채,0.75,2.731
2026-03-18,국고채,1,2.829
2026-03-18,국고채,1.5,2.983
2026-03-18,국고채,2,3.146
2026-03-18,국고채,2.5,3.165
2026-03-18,국고채,3,3.265
2026-03-18,국고채,4,3.48
2026-03-18,국고채,5,3.517
2026-03-18,국고채,7,3.606
2026-03-18,국고채,10,3.61
2026-03-18,국고채,15,3.664
2026-03-18,국고채,20,3.63
2026-03-18,국고채,30,3.506
2026-03-17,국고채,0.25,2.589
2026-03-17,국고채,0.5,2.682
2026-03-17,국고채,0.75,2.737
2026-03-17,국고채,1,2.834
2026-03-17,국고채,1.5,3.032
2026-03-17,국고채,2,3.185
2026-03-17,국고채,2.5,3.215
2026-03-17,국고채,3,3.327
2026-03-17,국고채,4,3.54
2026-03-17,국고채,5,3.582
2026-03-17,국고채,7,3.68
2026-03-17,국고채,10,3.7
2026-03-17,국고채,15,3.743
2026-03-17,국고채,20,3.695
2026-03-17,국고채,30,3.577
2026-03-16,국고채,0.25,2.593
2026-03-16,국고채,0.5,2.685
2026-03-16,국고채,0.75,2.738
2026-03-16,국고채,1,2.825
2026-03-16,국고채,1.5,3.03
2026-03-16,국고채,2,3.175
2026-03-16,국고채,2.5,3.215
2026-03-16,국고채,3,3.306
2026-03-16,국고채,4,3.522
2026-03-16,국고채,5,3.562
2026-03-16,국고채,7,3.661
2026-03-16,국고채,10,3.68
2026-03-16,국고채,15,3.733
2026-03-16,국고채,20,3.69
2026-03-16,국고채,30,3.587
2026-03-13,국고채,0.25,2.59
2026-03-13,국고채,0.5,2.69
2026-03-13,국고채,0.75,2.747
2026-03-13,국고채,1,2.835
2026-03-13,국고채,1.5,3.01
2026-03-13,국고채,2,3.19
2026-03-13,국고채,2.5,3.255
2026-03-13,국고채,3,3.332
2026-03-13,국고채,4,3.54
2026-03-13,국고채,5,3.56
2026-03-13,국고채,7,3.673
2026-03-13,국고채,10,3.7
2026-03-13,국고채,15,3.752
2026-03-13,국고채,20,3.705
2026-03-13,국고채,30,3.6
2026-03-12,국고채,0.25,2.593
2026-03-12,국고채,0.5,2.69
2026-03-12,국고채,0.75,2.743
2026-03-12,국고채,1,2.817
2026-03-12,국고채,1.5,2.976
2026-03-12,국고채,2,3.135
2026-03-12,국고채,2.5,3.19
2026-03-12,국고채,3,3.265
2026-03-12,국고채,4,3.467
2026-03-12,국고채,5,3.483
2026-03-12,국고채,7,3.61
2026-03-12,국고채,10,3.648
2026-03-12,국고채,15,3.7
2026-03-12,국고채,20,3.65
2026-03-12,국고채,30,3.559
2026-03-11,국고채,0.25,2.585
2026-03-11,국고채,0.5,2.686
2026-03-11,국고채,0.75,2.74
2026-03-11,국고채,1,2.808
2026-03-11,국고채,1.5,2.97
2026-03-11,국고채,2,3.126
2026-03-11,국고채,2.5,3.18
2026-03-11,국고채,3,3.25
2026-03-11,국고채,4,3.452
2026-03-11,국고채,5,3.47
2026-03-11,국고채,7,3.585
2026-03-11,국고채,10,3.612
2026-03-11,국고채,15,3.666
2026-03-11,국고채,20,3.615
2026-03-11,국고채,30,3.505
2026-03-10,국고채,0.25,2.571
2026-03-10,국고채,0.5,2.672
2026-03-10,국고채,0.75,2.747
2026-03-10,국고채,1,2.832
2026-03-10,국고채,1.5,3
2026-03-10,국고채,2,3.156
2026-03-10,국고채,2.5,3.209
2026-03-10,국고채,3,3.28
2026-03-10,국고채,4,3.475
2026-03-10,국고채,5,3.505
2026-03-10,국고채,7,3.613
2026-03-10,국고채,10,3.619
2026-03-10,국고채,15,3.672
2026-03-10,국고채,20,3.62
2026-03-10,국고채,30,3.505
2026-03-09,국고채,0.25,2.538
2026-03-09,국고채,0.5,2.614
2026-03-09,국고채,0.75,2.715
2026-03-09,국고채,1,2.803
2026-03-09,국고채,1.5,3.016
2026-03-09,국고채,2,3.097
2026-03-09,국고채,2.5,3.335
2026-03-09,국고채,3,3.4
2026-03-09,국고채,4,3.51
2026-03-09,국고채,5,3.64
2026-03-09,국고채,7,3.73
2026-03-09,국고채,10,3.741
2026-03-09,국고채,15,3.776
2026-03-09,국고채,20,3.7
2026-03-09,국고채,30,3.593
2026-03-06,국고채,0.25,2.514
2026-03-06,국고채,0.5,2.578
2026-03-06,국고채,0.75,2.682
2026-03-06,국고채,1,2.756
2026-03-06,국고채,1.5,2.921
2026-03-06,국고채,2,2.97
2026-03-06,국고채,2.5,3.16
2026-03-06,국고채,3,3.222
2026-03-06,국고채,4,3.326
2026-03-06,국고채,5,3.472
2026-03-06,국고채,7,3.582
2026-03-06,국고채,10,3.617
2026-03-06,국고채,15,3.669
2026-03-06,국고채,20,3.615
2026-03-06,국고채,30,3.517
2026-03-05,국고채,0.25,2.509
2026-03-05,국고채,0.5,2.567
2026-03-05,국고채,0.75,2.677
2026-03-05,국고채,1,2.74
2026-03-05,국고채,1.5,2.906
2026-03-05,국고채,2,2.95
2026-03-05,국고채,2.5,3.122
2026-03-05,국고채,3,3.18
2026-03-05,국고채,4,3.285
2026-03-05,국고채,5,3.425
2026-03-05,국고채,7,3.538
2026-03-05,국고채,10,3.58
2026-03-05,국고채,15,3.638
2026-03-05,국고채,20,3.586
2026-03-05,국고채,30,3.49
2026-03-04,국고채,0.25,2.509
2026-03-04,국고채,0.5,2.568
2026-03-04,국고채,0.75,2.685
2026-03-04,국고채,1,2.746
2026-03-04,국고채,1.5,2.913
2026-03-04,국고채,2,2.978
2026-03-04,국고채,2.5,3.172
2026-03-04,국고채,3,3.225
2026-03-04,국고채,4,3.34
2026-03-04,국고채,5,3.475
2026-03-04,국고채,7,3.585
2026-03-04,국고채,10,3.637
2026-03-04,국고채,15,3.69
2026-03-04,국고채,20,3.637
2026-03-04,국고채,30,3.55
2026-03-03,국고채,0.25,2.51
2026-03-03,국고채,0.5,2.572
2026-03-03,국고채,0.75,2.681
2026-03-03,국고채,1,2.738
2026-03-03,국고채,1.5,2.896
2026-03-03,국고채,2,2.969
2026-03-03,국고채,2.5,3.125
2026-03-03,국고채,3,3.185
2026-03-03,국고채,4,3.3
2026-03-03,국고채,5,3.43
2026-03-03,국고채,7,3.547
2026-03-03,국고채,10,3.62
2026-03-03,국고채,15,3.694
2026-03-03,국고채,20,3.657
2026-03-03,국고채,30,3.578
2026-02-27,국고채,0.25,2.5
2026-02-27,국고채,0.5,2.55
2026-02-27,국고채,0.75,2.651
2026-02-27,국고채,1,2.695
2026-02-27,국고채,1.5,2.806
2026-02-27,국고채,2,2.815
2026-02-27,국고채,2.5,2.971
2026-02-27,국고채,3,3.04
2026-02-27,국고채,4,3.159
2026-02-27,국고채,5,3.275
2026-02-27,국고채,7,3.39
2026-02-27,국고채,10,3.445
2026-02-27,국고채,15,3.535
2026-02-27,국고채,20,3.51
2026-02-27,국고채,30,3.422
2026-02-26,국고채,0.25,2.5
2026-02-26,국고채,0.5,2.55
2026-02-26,국고채,0.75,2.651
2026-02-26,국고채,1,2.687
2026-02-26,국고채,1.5,2.811
2026-02-26,국고채,2,2.825
2026-02-26,국고채,2.5,2.99
2026-02-26,국고채,3,3.064
2026-02-26,국고채,4,3.187
2026-02-26,국고채,5,3.315
2026-02-26,국고채,7,3.42
2026-02-26,국고채,10,3.472
2026-02-26,국고채,15,3.565
2026-02-26,국고채,20,3.53
2026-02-26,국고채,30,3.442
2026-02-25,국고채,0.25,2.496
2026-02-25,국고채,0.5,2.551
2026-02-25,국고채,0.75,2.645
2026-02-25,국고채,1,2.68
2026-02-25,국고채,1.5,2.831
2026-02-25,국고채,2,2.865
2026-02-25,국고채,2.5,3.046
2026-02-25,국고채,3,3.122
2026-02-25,국고채,4,3.244
2026-02-25,국고채,5,3.382
2026-02-25,국고채,7,3.5
2026-02-25,국고채,10,3.557
2026-02-25,국고채,15,3.641
2026-02-25,국고채,20,3.6
2026-02-25,국고채,30,3.525
2026-02-24,국고채,0.25,2.491
2026-02-24,국고채,0.5,2.546
2026-02-24,국고채,0.75,2.635
2026-02-24,국고채,1,2.66
2026-02-24,국고채,1.5,2.826
2026-02-24,국고채,2,2.88
2026-02-24,국고채,2.5,3.082
2026-02-24,국고채,3,3.155
2026-02-24,국고채,4,3.273
2026-02-24,국고채,5,3.407
2026-02-24,국고채,7,3.533
2026-02-24,국고채,10,3.588
2026-02-24,국고채,15,3.667
2026-02-24,국고채,20,3.62
2026-02-24,국고채,30,3.537
2026-02-23,국고채,0.25,2.486
2026-02-23,국고채,0.5,2.531
2026-02-23,국고채,0.75,2.625
2026-02-23,국고채,1,2.647
2026-02-23,국고채,1.5,2.825
2026-02-23,국고채,2,2.88
2026-02-23,국고채,2.5,3.082
2026-02-23,국고채,3,3.155
2026-02-23,국고채,4,3.273
2026-02-23,국고채,5,3.405
2026-02-23,국고채,7,3.528
2026-02-23,국고채,10,3.577
2026-02-23,국고채,15,3.651
2026-02-23,국고채,20,3.6
2026-02-23,국고채,30,3.512
2026-02-20,국고채,0.25,2.481
2026-02-20,국고채,0.5,2.52
2026-02-20,국고채,0.75,2.616
2026-02-20,국고채,1,2.645
2026-02-20,국고채,1.5,2.831
2026-02-20,국고채,2,2.87
2026-02-20,국고채,2.5,3.077
2026-02-20,국고채,3,3.14
2026-02-20,국고채,4,3.26
2026-02-20,국고채,5,3.387
2026-02-20,국고채,7,3.5
2026-02-20,국고채,10,3.537
2026-02-20,국고채,15,3.616
2026-02-20,국고채,20,3.568
2026-02-20,국고채,30,3.474
2026-02-19,국고채,0.25,2.475
2026-02-19,국고채,0.5,2.506
2026-02-19,국고채,0.75,2.616
2026-02-19,국고채,1,2.645
2026-02-19,국고채,1.5,2.843
2026-02-19,국고채,2,2.9
2026-02-19,국고채,2.5,3.112
2026-02-19,국고채,3,3.176
2026-02-19,국고채,4,3.296
2026-02-19,국고채,5,3.425
2026-02-19,국고채,7,3.546
2026-02-19,국고채,10,3.585
2026-02-19,국고채,15,3.666
2026-02-19,국고채,20,3.62
2026-02-19,국고채,30,3.535
2026-02-13,국고채,0.25,2.473
2026-02-13,국고채,0.5,2.501
2026-02-13,국고채,0.75,2.618
2026-02-13,국고채,1,2.641
2026-02-13,국고채,1.5,2.835
2026-02-13,국고채,2,2.87
2026-02-13,국고채,2.5,3.085
2026-02-13,국고채,3,3.14
2026-02-13,국고채,4,3.27
2026-02-13,국고채,5,3.39
2026-02-13,국고채,7,3.52
2026-02-13,국고채,10,3.565
2026-02-13,국고채,15,3.646
2026-02-13,국고채,20,3.599
2026-02-13,국고채,30,3.515
2026-02-12,국고채,0.25,2.474
2026-02-12,국고채,0.5,2.502
2026-02-12,국고채,0.75,2.611
2026-02-12,국고채,1,2.66
2026-02-12,국고채,1.5,2.82
2026-02-12,국고채,2,2.886
2026-02-12,국고채,2.5,3.095
2026-02-12,국고채,3,3.15
2026-02-12,국고채,4,3.3
2026-02-12,국고채,5,3.42
2026-02-12,국고채,7,3.56
2026-02-12,국고채,10,3.615
2026-02-12,국고채,15,3.7
2026-02-12,국고채,20,3.655
2026-02-12,국고채,30,3.57
2026-02-11,국고채,0.25,2.474
2026-02-11,국고채,0.5,2.502
2026-02-11,국고채,0.75,2.607
2026-02-11,국고채,1,2.671
2026-02-11,국고채,1.5,2.833
2026-02-11,국고채,2,2.915
2026-02-11,국고채,2.5,3.13
2026-02-11,국고채,3,3.2
2026-02-11,국고채,4,3.345
2026-02-11,국고채,5,3.457
2026-02-11,국고채,7,3.585
2026-02-11,국고채,10,3.635
2026-02-11,국고채,15,3.73
2026-02-11,국고채,20,3.68
2026-02-11,국고채,30,3.59
2026-02-10,국고채,0.25,2.474
2026-02-10,국고채,0.5,2.503
2026-02-10,국고채,0.75,2.607
2026-02-10,국고채,1,2.683
2026-02-10,국고채,1.5,2.845
2026-02-10,국고채,2,2.935
2026-02-10,국고채,2.5,3.152
2026-02-10,국고채,3,3.222
2026-02-10,국고채,4,3.377
2026-02-10,국고채,5,3.49
2026-02-10,국고채,7,3.62
2026-02-10,국고채,10,3.681
2026-02-10,국고채,15,3.765
2026-02-10,국고채,20,3.705
2026-02-10,국고채,30,3.61
2026-02-09,국고채,0.25,2.476
2026-02-09,국고채,0.5,2.506
2026-02-09,국고채,0.75,2.61
2026-02-09,국고채,1,2.696
2026-02-09,국고채,1.5,2.883
2026-02-09,국고채,2,2.991
2026-02-09,국고채,2.5,3.21
2026-02-09,국고채,3,3.268
2026-02-09,국고채,4,3.438
2026-02-09,국고채,5,3.557
2026-02-09,국고채,7,3.7
2026-02-09,국고채,10,3.761
2026-02-09,국고채,15,3.825
2026-02-09,국고채,20,3.745
2026-02-09,국고채,30,3.647
2026-02-06,국고채,0.25,2.476
2026-02-06,국고채,0.5,2.506
2026-02-06,국고채,0.75,2.61
2026-02-06,국고채,1,2.698
2026-02-06,국고채,1.5,2.886
2026-02-06,국고채,2,3
2026-02-06,국고채,2.5,3.212
2026-02-06,국고채,3,3.241
2026-02-06,국고채,4,3.425
2026-02-06,국고채,5,3.53
2026-02-06,국고채,7,3.67
2026-02-06,국고채,10,3.717
2026-02-06,국고채,15,3.791
2026-02-06,국고채,20,3.721
2026-02-06,국고채,30,3.617
2026-02-05,국고채,0.25,2.474
2026-02-05,국고채,0.5,2.51
2026-02-05,국고채,0.75,2.611
2026-02-05,국고채,1,2.701
2026-02-05,국고채,1.5,2.889
2026-02-05,국고채,2,2.975
2026-02-05,국고채,2.5,3.18
2026-02-05,국고채,3,3.205
2026-02-05,국고채,4,3.4
2026-02-05,국고채,5,3.505
2026-02-05,국고채,7,3.635
2026-02-05,국고채,10,3.692
2026-02-05,국고채,15,3.772
2026-02-05,국고채,20,3.705
2026-02-05,국고채,30,3.61
2026-02-04,국고채,0.25,2.46
2026-02-04,국고채,0.5,2.506
2026-02-04,국고채,0.75,2.607
2026-02-04,국고채,1,2.701
2026-02-04,국고채,1.5,2.889
2026-02-04,국고채,2,2.992
2026-02-04,국고채,2.5,3.2
2026-02-04,국고채,3,3.222
2026-02-04,국고채,4,3.423
2026-02-04,국고채,5,3.535
2026-02-04,국고채,7,3.665
2026-02-04,국고채,10,3.72
2026-02-04,국고채,15,3.795
2026-02-04,국고채,20,3.72
2026-02-04,국고채,30,3.632
2026-02-03,국고채,0.25,2.46
2026-02-03,국고채,0.5,2.5
2026-02-03,국고채,0.75,2.603
2026-02-03,국고채,1,2.7
2026-02-03,국고채,1.5,2.874
2026-02-03,국고채,2,2.972
2026-02-03,국고채,2.5,3.162
2026-02-03,국고채,3,3.19
2026-02-03,국고채,4,3.39
2026-02-03,국고채,5,3.492
2026-02-03,국고채,7,3.615
2026-02-03,국고채,10,3.662
2026-02-03,국고채,15,3.745
2026-02-03,국고채,20,3.675
2026-02-03,국고채,30,3.59
2026-02-02,국고채,0.25,2.458
2026-02-02,국고채,0.5,2.492
2026-02-02,국고채,0.75,2.596
2026-02-02,국고채,1,2.693
2026-02-02,국고채,1.5,2.857
2026-02-02,국고채,2,2.935
2026-02-02,국고채,2.5,3.125
2026-02-02,국고채,3,3.155
2026-02-02,국고채,4,3.343
2026-02-02,국고채,5,3.45
2026-02-02,국고채,7,3.565
2026-02-02,국고채,10,3.605
2026-02-02,국고채,15,3.684
2026-02-02,국고채,20,3.61
2026-02-02,국고채,30,3.526
2026-01-30,국고채,0.25,2.448
2026-01-30,국고채,0.5,2.482
2026-01-30,국고채,0.75,2.587
2026-01-30,국고채,1,2.688
2026-01-30,국고채,1.5,2.852
2026-01-30,국고채,2,2.918
2026-01-30,국고채,2.5,3.112
2026-01-30,국고채,3,3.142
2026-01-30,국고채,4,3.334
2026-01-30,국고채,5,3.442
2026-01-30,국고채,7,3.571
2026-01-30,국고채,10,3.611
2026-01-30,국고채,15,3.683
2026-01-30,국고채,20,3.597
2026-01-30,국고채,30,3.525
2026-01-29,국고채,0.25,2.448
2026-01-29,국고채,0.5,2.475
2026-01-29,국고채,0.75,2.577
2026-01-29,국고채,1,2.685
2026-01-29,국고채,1.5,2.83
2026-01-29,국고채,2,2.888
2026-01-29,국고채,2.5,3.072
2026-01-29,국고채,3,3.105
2026-01-29,국고채,4,3.295
2026-01-29,국고채,5,3.397
2026-01-29,국고채,7,3.525
2026-01-29,국고채,10,3.562
2026-01-29,국고채,15,3.638
2026-01-29,국고채,20,3.572
2026-01-29,국고채,30,3.487
2026-01-28,국고채,0.25,2.443
2026-01-28,국고채,0.5,2.468
2026-01-28,국고채,0.75,2.571
2026-01-28,국고채,1,2.68
2026-01-28,국고채,1.5,2.805
2026-01-28,국고채,2,2.855
2026-01-28,국고채,2.5,3.04
2026-01-28,국고채,3,3.065
2026-01-28,국고채,4,3.253
2026-01-28,국고채,5,3.355
2026-01-28,국고채,7,3.475
2026-01-28,국고채,10,3.517
2026-01-28,국고채,15,3.596
2026-01-28,국고채,20,3.53
2026-01-28,국고채,30,3.437
2026-01-27,국고채,0.25,2.441
2026-01-27,국고채,0.5,2.468
2026-01-27,국고채,0.75,2.571
2026-01-27,국고채,1,2.685
2026-01-27,국고채,1.5,2.806
2026-01-27,국고채,2,2.87
2026-01-27,국고채,2.5,3.07
2026-01-27,국고채,3,3.089
2026-01-27,국고채,4,3.27
2026-01-27,국고채,5,3.375
2026-01-27,국고채,7,3.495
2026-01-27,국고채,10,3.527
2026-01-27,국고채,15,3.606
2026-01-27,국고채,20,3.545
2026-01-27,국고채,30,3.44
2026-01-26,국고채,0.25,2.435
2026-01-26,국고채,0.5,2.458
2026-01-26,국고채,0.75,2.553
2026-01-26,국고채,1,2.658
2026-01-26,국고채,1.5,2.795
2026-01-26,국고채,2,2.87
2026-01-26,국고채,2.5,3.072
2026-01-26,국고채,3,3.092
2026-01-26,국고채,4,3.275
2026-01-26,국고채,5,3.382
2026-01-26,국고채,7,3.505
2026-01-26,국고채,10,3.545
2026-01-26,국고채,15,3.628
2026-01-26,국고채,20,3.575
2026-01-26,국고채,30,3.455
2026-01-23,국고채,0.25,2.434
2026-01-23,국고채,0.5,2.457
2026-01-23,국고채,0.75,2.548
2026-01-23,국고채,1,2.645
2026-01-23,국고채,1.5,2.782
2026-01-23,국고채,2,2.89
2026-01-23,국고채,2.5,3.105
2026-01-23,국고채,3,3.13
2026-01-23,국고채,4,3.311
2026-01-23,국고채,5,3.412
2026-01-23,국고채,7,3.541
2026-01-23,국고채,10,3.581
2026-01-23,국고채,15,3.642
2026-01-23,국고채,20,3.58
2026-01-23,국고채,30,3.46
2026-01-22,국고채,0.25,2.426
2026-01-22,국고채,0.5,2.442
2026-01-22,국고채,0.75,2.523
2026-01-22,국고채,1,2.617
2026-01-22,국고채,1.5,2.747
2026-01-22,국고채,2,2.861
2026-01-22,국고채,2.5,3.075
2026-01-22,국고채,3,3.097
2026-01-22,국고채,4,3.281
2026-01-22,국고채,5,3.387
2026-01-22,국고채,7,3.515
2026-01-22,국고채,10,3.551
2026-01-22,국고채,15,3.605
2026-01-22,국고채,20,3.534
2026-01-22,국고채,30,3.42
2026-01-21,국고채,0.25,2.426
2026-01-21,국고채,0.5,2.435
2026-01-21,국고채,0.75,2.505
2026-01-21,국고채,1,2.602
2026-01-21,국고채,1.5,2.76
2026-01-21,국고채,2,2.89
2026-01-21,국고채,2.5,3.105
2026-01-21,국고채,3,3.13
2026-01-21,국고채,4,3.316
2026-01-21,국고채,5,3.427
2026-01-21,국고채,7,3.55
2026-01-21,국고채,10,3.597
2026-01-21,국고채,15,3.649
2026-01-21,국고채,20,3.575
2026-01-21,국고채,30,3.47
2026-01-20,국고채,0.25,2.426
2026-01-20,국고채,0.5,2.427
2026-01-20,국고채,0.75,2.498
2026-01-20,국고채,1,2.596
2026-01-20,국고채,1.5,2.785
2026-01-20,국고채,2,2.932
2026-01-20,국고채,2.5,3.15
2026-01-20,국고채,3,3.182
2026-01-20,국고채,4,3.37
2026-01-20,국고채,5,3.479
2026-01-20,국고채,7,3.6
2026-01-20,국고채,10,3.646
2026-01-20,국고채,15,3.685
2026-01-20,국고채,20,3.605
2026-01-20,국고채,30,3.495
2026-01-19,국고채,0.25,2.426
2026-01-19,국고채,0.5,2.421
2026-01-19,국고채,0.75,2.488
2026-01-19,국고채,1,2.588
2026-01-19,국고채,1.5,2.772
2026-01-19,국고채,2,2.907
