종목명,구분,코드,채권그룹,날짜(당일),3월이하(당일),6월이하(당일),9월이하(당일),1년이하(당일),1.5년이하(당일),2년이하(당일),2.5년이하(당일),3년이하(당일),4년이하(당일),5년이하(당일),7년이하(당일),10년이하(당일),15년이하(당일),20년이하(당일),30년이하(당일)
시가평가 4사평균 AJ네트웍스,IR,BONDAV411919,공모/무보증BBB+,20260401,2.993,3.359,3.786,4.091,4.705,5.334,5.64,6.102,6.422,6.656,6.672,7.12,7.423,7.823,
시가평가 4사평균 BNK금융지주,IR,BONDAV418519,공모/무보증AAA,20260401,2.957,3.035,3.122,3.368,3.548,3.763,3.772,3.843,3.859,3.954,3.975,4.272,4.445,4.706,
시가평가 4사평균 BNK투자증권,IR,BONDAV440019,공모/무보증A+,20260401,3.103,3.17,3.354,3.62,3.899,4.224,4.227,4.424,4.56,4.867,5.035,5.798,6.179,6.497,
시가평가 4사평균 CJ,IR,BONDAV400104,공모/무보증AA-,20260401,3.005,3.073,3.179,3.427,3.592,3.827,3.831,3.925,3.942,4.052,4.173,5.04,5.628,5.962,
시가평가 4사평균 CJ CGV,IR,BONDAV408805,공모/무보증A-,20260401,4.997,5.125,5.343,5.658,6.065,6.444,6.581,6.865,7.152,7.597,7.702,8.452,8.754,9.171,
시가평가 4사평균 CJ ENM,IR,BONDAV400834,공모/무보증AA-,20260401,3.067,3.138,3.249,3.505,3.682,3.931,3.952,4.077,4.081,4.191,4.342,5.203,5.796,6.13,
시가평가 4사평균 CJ대한통운,IR,BONDAV400012,공모/무보증AA-,20260401,2.975,3.043,3.141,3.388,3.558,3.796,3.802,3.898,3.916,4.034,4.174,5.035,5.628,5.97,
시가평가 4사평균 CJ제일제당,IR,BONDAV412366,공모/무보증AA0,20260401,2.968,3.032,3.13,3.374,3.536,3.761,3.769,3.86,3.858,3.921,3.951,4.446,4.793,5.068,
시가평가 4사평균 CJ프레시웨이,IR,BONDAV405361,공모/무보증A0,20260401,3.103,3.198,3.374,3.669,3.922,4.222,4.311,4.549,4.795,5.176,5.341,6.119,6.46,6.825,
시가평가 4사평균 DL에너지,IR,BONDAV447436,공모/무보증A0,20260401,3.019,3.121,3.307,3.593,3.852,4.192,4.251,4.47,4.749,5.131,5.299,6.084,6.428,6.762,
시가평가 4사평균 DL이앤씨,IR,BONDAV463270,공모/무보증AA-,20260401,3.105,3.179,3.283,3.533,3.701,3.934,3.962,4.07,4.089,4.222,4.364,5.227,5.816,6.145,
시가평가 4사평균 E1,IR,BONDAV401794,공모/무보증A+,20260401,3.031,3.103,3.255,3.515,3.753,4.038,4.049,4.206,4.379,4.63,4.771,5.544,5.924,6.281,
시가평가 4사평균 GS,IR,BONDAV409006,공모/무보증AA0,20260401,3.045,3.118,3.225,3.474,3.647,3.869,3.876,3.97,3.976,4.059,4.119,4.796,5.273,5.56,
시가평가 4사평균 GS건설,IR,BONDAV400636,공모/무보증A0,20260401,3.919,4.002,4.202,4.488,4.79,5.161,5.199,5.407,5.564,5.951,6.139,6.893,7.219,7.557,
시가평가 4사평균 GS글로벌,IR,BONDAV400125,공모/무보증A0,20260401,3.308,3.404,3.583,3.875,4.136,4.436,4.465,4.655,4.921,5.168,5.302,6.074,6.378,6.735,
시가평가 4사평균 GS리테일,IR,BONDAV400707,공모/무보증AA0,20260401,2.969,3.037,3.135,3.387,3.547,3.768,3.777,3.861,3.871,3.982,4.039,4.743,5.223,5.504,
시가평가 4사평균 GS칼텍스,IR,BONDAV400508,공모/무보증AA+,20260401,2.948,3.019,3.114,3.35,3.511,3.738,3.741,3.831,3.828,3.898,3.908,4.361,4.599,4.855,
시가평가 4사평균 GS파워,IR,BONDAV404484,공모/무보증AA0,20260401,2.954,3.022,3.11,3.362,3.528,3.737,3.742,3.822,3.819,3.9,3.957,4.523,4.9,5.188,
시가평가 4사평균 HDC,IR,BONDAV401263,공모/무보증A0,20260401,3.382,3.481,3.672,3.958,4.212,4.52,4.573,4.798,5.043,5.421,5.585,6.351,6.718,7.088,
시가평가 4사평균 HDC현대산업개발,IR,BONDAV455766,공모/무보증A0,20260401,3.512,3.608,3.795,4.095,4.363,4.672,4.793,5.052,5.298,5.637,5.775,6.548,6.89,7.25,
시가평가 4사평균 HD건설기계,IR,BONDAV452933,공모/무보증A0,20260401,3.134,3.233,3.404,3.7,3.947,4.24,4.28,4.463,4.673,4.996,5.181,5.961,6.289,6.65,
시가평가 4사평균 HD현대,IR,BONDAV452932,공모/무보증AA-,20260401,2.981,3.054,3.176,3.438,3.623,3.876,3.896,4.005,4.051,4.186,4.349,5.21,5.768,6.1,
시가평가 4사평균 HD현대인프라코어(~260123),IR,BONDAV405534, , , , , , , , , , , , , , , , ,
시가평가 4사평균 HD현대일렉트릭,IR,BONDAV452931,공모/무보증AA-,20260401,3.145,3.219,3.361,3.62,3.824,4.106,4.152,4.253,4.336,4.501,4.652,5.493,6.045,6.387,
시가평가 4사평균 HD현대중공업,IR,BONDAV458676,공모/무보증AA-,20260401,3.092,3.168,3.304,3.569,3.802,4.068,4.121,4.242,4.376,4.566,4.717,5.565,6.141,6.484,
시가평가 4사평균 HK이노엔,IR,BONDAV444919,공모/무보증A0,20260401,3.197,3.289,3.476,3.765,4.03,4.344,4.394,4.627,4.931,5.338,5.502,6.287,6.61,6.965,
시가평가 4사평균 HL D&I,IR,BONDAV401479,공모/무보증BBB+,20260401,5.103,5.738,6.296,6.682,7.188,8.064,8.328,8.685,8.856,9.049,9.069,9.533,9.749,10.136,
시가평가 4사평균 HL만도,IR,BONDAV446015,공모/무보증AA-,20260401,3.027,3.097,3.204,3.454,3.626,3.861,3.866,3.956,3.956,4.051,4.201,5.06,5.655,5.997,
시가평가 4사평균 HL홀딩스,IR,BONDAV404107,공모/무보증A0,20260401,3.194,3.292,3.482,3.775,4.036,4.316,4.375,4.565,4.81,5.163,5.327,6.094,6.415,6.785,
시가평가 4사평균 HS효성첨단소재,IR,BONDAV456217,공모/무보증A0,20260401,3.295,3.391,3.58,3.876,4.131,4.413,4.436,4.588,4.826,5.058,5.23,5.999,6.295,6.653,
시가평가 4사평균 INVENI,IR,BONDAV401536,공모/무보증AA-,20260401,3.082,3.154,3.266,3.517,3.689,3.934,3.958,4.081,4.112,4.25,4.401,5.272,5.878,6.215,
시가평가 4사평균 JB 우리캐피탈,IR,BONDAV403713,기타금융채AA-,20260401,3.049,3.121,3.234,3.52,3.711,3.954,3.937,4.067,4.095,4.214,4.612,5.465,5.833,6.122,
시가평가 4사평균 JB금융지주,IR,BONDAV442953,공모/무보증AA+,20260401,3.015,3.09,3.193,3.437,3.608,3.852,3.946,4.071,4.135,4.232,4.273,4.733,4.979,5.245,
시가평가 4사평균 KB금융,IR,BONDAV413986,공모/무보증AAA,20260401,2.928,2.996,3.079,3.318,3.489,3.693,3.699,3.766,3.777,3.855,3.88,4.191,4.367,4.628,
시가평가 4사평균 KB증권,IR,BONDAV400345,공모/무보증AA+,20260401,2.99,3.067,3.169,3.413,3.576,3.806,3.816,3.902,3.898,3.965,4.004,4.463,4.703,4.969,
