종목명,구분,코드,채권그룹,날짜(당일),3월이하(당일),6월이하(당일),9월이하(당일),1년이하(당일),1.5년이하(당일),2년이하(당일),2.5년이하(당일),3년이하(당일),4년이하(당일),5년이하(당일),7년이하(당일),10년이하(당일),15년이하(당일),20년이하(당일),30년이하(당일)
시가평가 4사평균 효성화학,IR,BONDAV456200, , , , , , , , , , , , , , , , ,
시가평가 4사평균 효성티앤씨,IR,BONDAV456254,공모/무보증A+,20260316,3.083,3.122,3.235,3.47,3.688,4.023,4.179,4.534,4.711,5.055,5.236,5.976,6.365,6.7,
시가평가 4사평균 효성중공업,IR,BONDAV456216,공모/무보증A0,20260316,3.291,3.347,3.497,3.749,3.989,4.328,4.4,4.719,4.931,5.244,5.454,6.166,6.514,6.842,
시가평가 4사평균 호텔신라,IR,BONDAV400877,공모/무보증AA-,20260316,3.057,3.096,3.155,3.355,3.5,3.762,3.821,4.036,4.164,4.345,4.503,5.299,5.892,6.215,
시가평가 4사평균 호텔롯데,IR,BONDAV403654,공모/무보증AA-,20260316,3.271,3.314,3.375,3.567,3.709,3.952,3.98,4.149,4.233,4.397,4.471,5.087,5.586,5.867,
시가평가 4사평균 현대트랜시스,IR,BONDAV403962,공모/무보증AA-,20260316,2.981,3.022,3.08,3.271,3.402,3.62,3.641,3.802,3.849,3.991,4.178,5.013,5.626,5.96,
시가평가 4사평균 현대코퍼레이션홀딩스,IR,BONDAV474963,공모/무보증A-,20260316,3.178,3.253,3.422,3.673,3.941,4.294,4.429,4.809,5.159,5.696,5.83,6.53,6.848,7.199,
시가평가 4사평균 현대코퍼레이션,IR,BONDAV401176,공모/무보증A0,20260316,3.163,3.238,3.385,3.631,3.87,4.186,4.285,4.6,4.941,5.377,5.58,6.303,6.689,7.017,
시가평가 4사평균 현대케피코,IR,BONDAV403864,공모/무보증A+,20260316,2.99,3.034,3.145,3.367,3.577,3.875,3.929,4.144,4.384,4.76,4.951,5.685,6.085,6.434,
시가평가 4사평균 현대케미칼,IR,BONDAV452666,공모/무보증A0,20260316,3.227,3.295,3.432,3.681,3.925,4.253,4.322,4.635,4.909,5.293,5.507,6.239,6.579,6.917,
시가평가 4사평균 현대커머셜,IR,BONDAV411987,기타금융채AA-,20260316,2.974,3.003,3.057,3.26,3.407,3.673,3.696,3.914,3.979,4.114,4.562,5.377,5.776,6.053,
